,actual precision (%),analytic (eV),iterations,numeric (eV),numeric precision (%),time (s)
0,0.2009375274822256,0.0034828963795597934,104000,0.0034898948254296486,0.009896835053724296,79.0976710319519
1,0.15840768083490442,0.01392974848245966,76000,0.013951814273976858,0.009481699063773608,117.73007082939148
2,0.1226316960853513,0.03133496172811933,48000,0.03137338832315422,0.008769752861337299,108.68245315551758
3,0.11083408813843398,0.05568892245955971,41000,0.05575064476896189,0.009869955576180534,115.23190498352051
4,0.09974471193199275,0.08697752817465727,31000,0.08706428365958065,0.009190850272933204,108.63653635978699
5,0.0863436999440248,0.12518144938216405,29000,0.12528953567720416,0.007456704719954743,120.82794189453125
6,0.08783959009952547,0.1702750200557756,23000,0.1704245889354345,0.009139646925238054,112.8619441986084
7,0.0832900138671766,0.22222458156199607,22000,0.22240967244679533,0.007594557383994172,119.85237169265747
8,0.07569018006574613,0.2809859764133148,19000,0.2811986552048215,0.00683862747087316,120.39563179016113
9,0.07466808871081643,0.34650064353057247,18000,0.3467593689384674,0.006869800571851492,121.07130742073059
10,0.0711608517146356,0.41868926580679827,16000,0.41898720865438416,0.006269215777576775,96.07901644706726
11,0.06912834785248734,0.49744080362409804,15000,0.4977846762331875,0.007496365425929685,87.08852362632751
12,0.06887913986721728,0.5825919700281276,13000,0.5829932543660185,0.009941296050941517,114.9259102344513
13,0.06059783387448725,0.6738842132462906,13000,0.67429257248234,0.007896060697876184,123.76511716842651
14,0.05395111084278703,0.7708569346002081,12000,0.7712728204794336,0.00803938870284071,122.77801704406738
15,0.05279621935450063,0.8724940853102449,12000,0.8729547292013803,0.008532018985951684,118.76318979263306
16,0.07634940639016374,0.9748707382251698,15000,0.975615046246876,0.008491517661957104,160.4967062473297
